in s,C1 in V,C2 in V,C3 in V,C4 in V
-1.0409E-02,2.20596E-01,4.03778E-03,2.52063E-01,2.10763E-01
-1.0406E-02,2.21420E-01,4.34296E-03,2.53100E-01,2.10992E-01
-1.0402E-02,2.21573E-01,5.71625E-03,2.56915E-01,2.10229E-01
-1.0399E-02,2.21786E-01,5.79254E-03,2.61660E-01,2.11526E-01
-1.0396E-02,2.22336E-01,6.78436E-03,2.67810E-01,2.12289E-01
-1.0392E-02,2.22855E-01,7.01324E-03,2.77133E-01,2.12136E-01
-1.0389E-02,2.23282E-01,6.47919E-03,2.89538E-01,2.11449E-01
-1.0386E-02,2.23068E-01,6.63177E-03,3.00128E-01,2.12289E-01
-1.0383E-02,2.23160E-01,6.25031E-03,3.12152E-01,2.11983E-01
-1.0379E-02,2.22885E-01,5.41107E-03,3.25290E-01,2.10534E-01
-1.0376E-02,2.22214E-01,5.25848E-03,3.35009E-01,2.11907E-01
-1.0373E-02,2.22763E-01,5.02960E-03,3.46209E-01,2.11449E-01
-1.0369E-02,2.22244E-01,5.18219E-03,3.72134E-01,2.11297E-01
-1.0366E-02,2.22488E-01,4.87701E-03,4.10556E-01,2.11144E-01
-1.0363E-02,2.22549E-01,5.10590E-03,4.46551E-01,2.11220E-01
-1.0360E-02,2.22397E-01,5.41107E-03,4.63824E-01,2.11068E-01
-1.0356E-02,2.22488E-01,5.10590E-03,4.83691E-01,2.11220E-01
-1.0353E-02,2.23099E-01,6.09772E-03,4.97714E-01,2.12365E-01
-1.0350E-02,2.22916E-01,5.10590E-03,5.09326E-01,2.11678E-01
-1.0347E-02,2.23160E-01,5.18219E-03,5.14422E-01,2.12289E-01
-1.0343E-02,2.23160E-01,6.40289E-03,5.19015E-01,2.12823E-01
-1.0340E-02,2.23404E-01,4.49554E-03,5.21106E-01,2.12289E-01
-1.0337E-02,2.23709E-01,5.48737E-03,5.22372E-01,2.12212E-01
-1.0333E-02,2.23984E-01,5.79254E-03,5.22357E-01,2.13051E-01
-1.0330E-02,2.24472E-01,5.94513E-03,5.21670E-01,2.12136E-01
-1.0327E-02,2.24533E-01,6.09772E-03,5.18512E-01,2.12823E-01
-1.0324E-02,2.24991E-01,5.33478E-03,5.13797E-01,2.12365E-01
-1.0320E-02,2.24960E-01,5.18219E-03,5.04031E-01,2.12517E-01
-1.0317E-02,2.24777E-01,5.48737E-03,4.87536E-01,2.12517E-01
-1.0314E-02,2.24319E-01,4.34296E-03,4.64084E-01,2.12823E-01
-1.0310E-02,2.24747E-01,5.33478E-03,4.33520E-01,2.12899E-01
-1.0307E-02,2.24838E-01,4.80072E-03,4.11670E-01,2.13204E-01
-1.0304E-02,2.24564E-01,5.10590E-03,3.81625E-01,2.14043E-01
-1.0301E-02,2.25082E-01,5.79254E-03,3.57806E-01,2.13357E-01
-1.0297E-02,2.25479E-01,5.63995E-03,3.34597E-01,2.13662E-01
-1.0294E-02,2.25021E-01,5.63995E-03,3.19781E-01,2.13051E-01
-1.0291E-02,2.24838E-01,4.95331E-03,3.08703E-01,2.13204E-01
-1.0288E-02,2.24533E-01,5.79254E-03,3.00204E-01,2.13814E-01
-1.0284E-02,2.24319E-01,4.41925E-03,2.91354E-01,2.12823E-01
-1.0281E-02,2.24075E-01,4.03778E-03,2.88012E-01,2.12289E-01
-1.0278E-02,2.24380E-01,4.57184E-03,2.81436E-01,2.13051E-01
-1.0274E-02,2.24686E-01,5.10590E-03,2.70846E-01,2.12594E-01
-1.0271E-02,2.24472E-01,5.02960E-03,2.57571E-01,2.12060E-01
-1.0268E-02,2.24747E-01,4.57184E-03,2.51254E-01,2.12823E-01
-1.0265E-02,2.24564E-01,3.65631E-03,2.48523E-01,2.12823E-01
-1.0261E-02,2.24228E-01,3.58002E-03,2.49759E-01,2.12899E-01
-1.0258E-02,2.24411E-01,4.03778E-03,2.51773E-01,2.12441E-01
-1.0255E-02,2.24777E-01,4.03778E-03,2.60318E-01,2.13662E-01
-1.0252E-02,2.24808E-01,3.50372E-03,2.70923E-01,2.13128E-01
-1.0248E-02,2.25204E-01,5.18219E-03,2.85830E-01,2.13738E-01
-1.0245E-02,2.25082E-01,4.11407E-03,3.02035E-01,2.14196E-01
-1.0242E-02,2.25296E-01,4.95331E-03,3.28082E-01,2.14272E-01
-1.0238E-02,2.25693E-01,5.71625E-03,3.58401E-01,2.15569E-01
-1.0235E-02,2.25479E-01,5.10590E-03,3.85653E-01,2.15264E-01
-1.0232E-02,2.25937E-01,6.09772E-03,4.03521E-01,2.16103E-01
-1.0229E-02,2.25632E-01,6.70807E-03,4.21481E-01,2.16637E-01
-1.0225E-02,2.25845E-01,6.17401E-03,4.30865E-01,2.16866E-01
-1.0222E-02,2.26151E-01,6.17401E-03,4.40677E-01,2.17324E-01
-1.0219E-02,2.25204E-01,6.47919E-03,4.44369E-01,2.16256E-01
-1.0215E-02,2.26181E-01,5.94513E-03,4.55417E-01,2.16256E-01
-1.0212E-02,2.26212E-01,6.25031E-03,4.75558E-01,2.16180E-01
-1.0209E-02,2.25998E-01,4.80072E-03,4.92206E-01,2.15340E-01
-1.0206E-02,2.26334E-01,5.02960E-03,5.04931E-01,2.15417E-01
-1.0202E-02,2.25418E-01,5.41107E-03,5.11233E-01,2.14272E-01
-1.0199E-02,2.26608E-01,4.19037E-03,5.15368E-01,2.15111E-01
-1.0196E-02,2.26547E-01,4.80072E-03,5.15078E-01,2.16332E-01
-1.0193E-02,2.26364E-01,4.49554E-03,5.10028E-01,2.16790E-01
-1.0189E-02,2.26212E-01,4.41925E-03,5.04519E-01,2.17705E-01
-1.0186E-02,2.26181E-01,4.19037E-03,4.90847E-01,2.16866E-01
-1.0183E-02,2.26334E-01,3.96149E-03,4.68936E-01,2.16942E-01
-1.0179E-02,2.26608E-01,3.73260E-03,4.46353E-01,2.17705E-01
-1.0176E-02,2.26974E-01,4.41925E-03,4.29980E-01,2.17782E-01
-1.0173E-02,2.26608E-01,4.64813E-03,4.03537E-01,2.17782E-01
-1.0170E-02,2.26852E-01,5.02960E-03,3.80023E-01,2.18011E-01
-1.0166E-02,2.26944E-01,4.26666E-03,3.66076E-01,2.18392E-01
-1.0163E-02,2.27249E-01,5.33478E-03,3.49276E-01,2.18468E-01
-1.0160E-02,2.28012E-01,5.10590E-03,3.35742E-01,2.18316E-01
-1.0156E-02,2.28256E-01,5.10590E-03,3.26281E-01,2.17934E-01
-1.0153E-02,2.27951E-01,4.19037E-03,3.18820E-01,2.17629E-01
-1.0150E-02,2.27707E-01,5.10590E-03,2.98800E-01,2.17477E-01
-1.0147E-02,2.27707E-01,4.80072E-03,2.75805E-01,2.18163E-01
-1.0143E-02,2.27585E-01,4.87701E-03,2.60180E-01,2.17095E-01
-1.0140E-02,2.27554E-01,4.26666E-03,2.50506E-01,2.18316E-01
-1.0137E-02,2.27585E-01,3.35114E-03,2.48721E-01,2.18316E-01
-1.0134E-02,2.27005E-01,3.73260E-03,2.47943E-01,2.17629E-01
-1.0130E-02,2.27188E-01,3.50372E-03,2.49698E-01,2.18163E-01
-1.0127E-02,2.26456E-01,3.19855E-03,2.57693E-01,2.18087E-01
-1.0124E-02,2.26822E-01,3.27484E-03,2.67840E-01,2.18316E-01
-1.0120E-02,2.26883E-01,2.96967E-03,2.86761E-01,2.18697E-01
